Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	GAU	bio15	0.168
2	calonectria_pseudonaviculata	GAU	bio33	0.176
3	calonectria_pseudonaviculata	GAU	bio5	0.103
4	calonectria_pseudonaviculata	GAU	bio6	0.167
5	calonectria_pseudonaviculata	GAU	bio7	0.385
1	calonectria_pseudonaviculata	GAU	bio15	0.168
2	calonectria_pseudonaviculata	GAU	bio33	0.176
3	calonectria_pseudonaviculata	GAU	bio5	0.103
4	calonectria_pseudonaviculata	GAU	bio6	0.167
5	calonectria_pseudonaviculata	GAU	bio7	0.385
1	calonectria_pseudonaviculata	GAU	bio15	0.168
2	calonectria_pseudonaviculata	GAU	bio33	0.176
3	calonectria_pseudonaviculata	GAU	bio5	0.103
4	calonectria_pseudonaviculata	GAU	bio6	0.167
5	calonectria_pseudonaviculata	GAU	bio7	0.385
1	calonectria_pseudonaviculata	GAU	bio15	0.168
2	calonectria_pseudonaviculata	GAU	bio33	0.176
3	calonectria_pseudonaviculata	GAU	bio5	0.103
4	calonectria_pseudonaviculata	GAU	bio6	0.167
5	calonectria_pseudonaviculata	GAU	bio7	0.385
1	calonectria_pseudonaviculata	GAU	bio15	0.168
2	calonectria_pseudonaviculata	GAU	bio33	0.176
3	calonectria_pseudonaviculata	GAU	bio5	0.103
4	calonectria_pseudonaviculata	GAU	bio6	0.167
5	calonectria_pseudonaviculata	GAU	bio7	0.385
1	calonectria_pseudonaviculata	GAU	bio15	0.168
2	calonectria_pseudonaviculata	GAU	bio33	0.176
3	calonectria_pseudonaviculata	GAU	bio5	0.103
4	calonectria_pseudonaviculata	GAU	bio6	0.167
5	calonectria_pseudonaviculata	GAU	bio7	0.385
1	calonectria_pseudonaviculata	GAU	bio15	0.168
2	calonectria_pseudonaviculata	GAU	bio33	0.176
3	calonectria_pseudonaviculata	GAU	bio5	0.103
4	calonectria_pseudonaviculata	GAU	bio6	0.167
5	calonectria_pseudonaviculata	GAU	bio7	0.385
