"bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio28","bio29","bio3","bio30","bio31","bio32","bio33","bio34","bio35","bio4","bio5","bio6","bio7","bio8","bio9"
1,0.949091762125124,0.971389357065746,-0.0823169441770047,-0.0742062461404851,-0.132644577830687,0.251015909707317,-0.0828224817191566,-0.118775025615951,-0.274282818770516,0.068005337508636,0.63251538280138,-0.414733177607823,-0.335207758035929,0.848139869132746,-0.502348936769768,0.575584561795158,-0.343604731588678,-0.490092097244552,-0.535058534368258,-0.220465187039204,-0.713623347656825,0.916902932467167,0.943219978586986,-0.429420145012061,0.557522682534303,0.901894222256509
0.949091762125124,1,0.850403897658497,-0.255489650955714,-0.22912249032553,-0.299099131447185,0.325784660351802,-0.241494458840758,-0.287694349592135,-0.372611661526353,-0.120724445901449,0.711410988068495,-0.562063402609257,-0.483587806939468,0.729822463343139,-0.629894284069869,0.609292267940099,-0.49125866953978,-0.621248593611325,-0.66307410356409,-0.37217622295197,-0.45901889121092,0.987360313568028,0.801453779354204,-0.140647785214728,0.656850929533414,0.803046155566966
0.971389357065746,0.850403897658497,1,0.0343031869991863,0.0294274493819372,-0.0164058509664372,0.191638629385154,0.0232821110143792,-0.00191991432141354,-0.213819201839821,0.198953589033146,0.531725699070928,-0.301515010305464,-0.220447047180687,0.88289012399542,-0.401690545424292,0.536323178169906,-0.229613791135238,-0.387197755229134,-0.430233997302826,-0.115151536923057,-0.85703436323915,0.807057345762901,0.99148220477539,-0.620168386456541,0.431074572477212,0.925624449623022
-0.0823169441770047,-0.255489650955714,0.0343031869991863,1,0.935650506153353,0.904126940748224,-0.5382338038925,0.953201586544061,0.923974104344491,0.813914433265626,0.893504159171628,-0.362137433408518,0.845839960724229,0.823971310279207,-0.0391111333423633,0.756501221968774,-0.424925971878773,0.823568725191083,0.775897827064288,0.748785888927314,0.827763431447842,-0.322704985985123,-0.30928570595898,0.081057828918212,-0.454728890748016,-0.204762001367591,-0.0231701673282156
-0.0742062461404851,-0.22912249032553,0.0294274493819372,0.935650506153353,1,0.72895443877681,-0.348414250379805,0.994072876632527,0.754754942575163,0.755697544236573,0.863499414021276,-0.291217005579413,0.757209497485832,0.788577167750546,0.00309955807224454,0.637897477944664,-0.328483048005965,0.777295550601614,0.660308681041886,0.667045841749674,0.749066086241484,-0.284497558244993,-0.273458466200393,0.0675014805669693,-0.395795823371432,-0.14299054023965,-0.0356540523453781
-0.132644577830687,-0.299099131447185,-0.0164058509664372,0.904126940748224,0.72895443877681,1,-0.652738323958287,0.753381377818592,0.994618494770896,0.80023650514957,0.747836312893174,-0.408808790173349,0.813439586305734,0.721367008180839,-0.112046967784076,0.802882622377172,-0.520676511932174,0.730332812315383,0.813292860701139,0.771132258995773,0.75558843152344,-0.279450813273246,-0.357299252516355,0.0328402921562058,-0.434005689898007,-0.248413401255647,-0.0597768524475426
0.251015909707317,0.325784660351802,0.191638629385154,-0.5382338038925,-0.348414250379805,-0.652738323958287,1,-0.376010191638359,-0.656957149514614,-0.553392184083928,-0.368781579851779,0.413883642905156,-0.667095140562821,-0.597737044862252,0.317815675886554,-0.615446126690255,0.529645136281835,-0.61336051255273,-0.630519336224684,-0.571066435771358,-0.656380945866871,0.0181208232937282,0.345912441671577,0.144849041400456,0.154879234461169,0.155404555329117,0.226553524034968
-0.0828224817191566,-0.241494458840758,0.0232821110143792,0.953201586544061,0.994072876632527,0.753381377818592,-0.376010191638359,1,0.778656727750484,0.764914440355169,0.881594077666841,-0.309437491800332,0.782223771266692,0.804594441123852,-0.00997719276678375,0.667212232510775,-0.344985940030596,0.796460444685016,0.688253116484718,0.68783093746283,0.774045768796881,-0.287448525935173,-0.286488819923669,0.0630806530841916,-0.403185337649785,-0.164249002901622,-0.0398243299211095
-0.118775025615951,-0.287694349592135,-0.00191991432141354,0.923974104344491,0.754754942575163,0.994618494770896,-0.656957149514614,0.778656727750484,1,0.809291130210609,0.770482941964401,-0.39724619463089,0.821638939861619,0.736983457772805,-0.0956364683301846,0.79785238526282,-0.513303818583684,0.745264709159355,0.810921782716923,0.768682113542318,0.771502762795304,-0.293007382133903,-0.34540729415995,0.0465857422867893,-0.441846225953593,-0.237198775505442,-0.0465802668842382
-0.274282818770516,-0.372611661526353,-0.213819201839821,0.813914433265626,0.755697544236573,0.80023650514957,-0.553392184083928,0.764914440355169,0.809291130210609,1,0.490774013304409,-0.373114218085206,0.833148876980963,0.721843876842008,-0.255812374290747,0.860436802420486,-0.710887102715774,0.725219343083386,0.873226178527775,0.88944996406601,0.691482394739394,-0.0223371712824764,-0.415468820274634,-0.194116434616751,-0.155773220085576,0.0211679200205788,-0.354287060356431
